Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Institute for Robotics and Intelligent Systems of Canada	Institute for Robotics and Intelligent Systems of Canada;;	WOS:000285947700007;;
the Fundamental Research Funds for the Central Universities	the Fundamental Research Funds for the Central Universities;;Fundamental Research Funds for the Central Universities;;CEN;;	WOS:000351791900004;;WOS:000395717700116;WOS:000302661501095;WOS:000305960300250;WOS:000337642400095;WOS:000405519500162;WOS:000371642100002;WOS:000378801600005;WOS:000327689200019;WOS:000325674000001;WOS:000345479100001;WOS:000362411800012;WOS:000352350000001;WOS:000337661800013;WOS:000324416200001;WOS:000314436000006;WOS:000343723100003;WOS:000301747400003;;WOS:000392233300002;;
CNPq  Brazilian Research Council	CNPq Brazil;;CNPq  Brazilian Research Council;;CNPq;;	WOS:000306587000006;;WOS:000318231300005;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Eve Appeal	Eve Appeal;;EVE;;	WOS:000354543500010;;WOS:000295290400003;;
Natural Science of Foundation of China	Natural Science of Foundation of China;;	WOS:000246477100008;WOS:000266894100015;;
Ministry of Training and Education of Vietnam	NGA;;Ministry of Training and Education of Vietnam;;	WOS:000282328800025;;WOS:000382269500025;;
S D G	S D G;;	WOS:000302993200002;;
Brazilian Research Councils CNPq	CNPq;;Brazilian Research Councils CNPq;;	WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;WOS:000287933800091;;
JRB	JRB;;	WOS:000276176000067;;
Cemagref and Basse-Normandie Regional Council	Cemagref and Basse-Normandie Regional Council;;	WOS:000299714900009;;
