CGS	;CGS
BIP	;Programa de Bolsa de Incentivo ao Pesquisador  BIP  of Universidade Estadual de Goias/Pro Reitoria de Pesquisa - Goias - Brazil
RGC	;RGC;RGC Competitive Earmarked Research Grant
Canada Research Chairs	;Canada Research Chairs
Spanish Ministerio de Educacion y Ciencia	;Spanish Ministerio de Educacion y Ciencia
Lahore University of Management Sciences Pakistan	;Lahore University of Management Sciences Pakistan
Pitotech Ltd  Co	;Pitotech Ltd  Co
Genigraph company  GenitechGroup	;Genigraph company  GenitechGroup
EVIDEN	;EVIDEN project
Institute for the Promotion and Innovation through Science and Technology in Flanders  IWT-Vlaanderen	;Institute for the Promotion and Innovation through Science and Technology in Flanders  IWT-Vlaanderen
Defense Advanced Research Projects Agency	;Defense Advanced Research Projects Agency
Spanish Ministerio de Ciencia e Innovacion	;Spanish Ministerio de Ciencia e Innovacion
N Z  Tertiary Education Commission under a Top Achiever Doctoral Scholarship	;N Z  Tertiary Education Commission under a Top Achiever Doctoral Scholarship
National Science Centre Republic of Poland	;National Science Centre Republic of Poland
Turing Fellowship - John Templeton Foundation	;Turing Fellowship - John Templeton Foundation
ESA	;ESA;European Space Agency  ESA  under the Networking and Partnering Initiative  NPI  Cooperative Systems for Autonomous Exploration Missions;European Space Agency  ESA  within the Advanced Planning and Scheduling Initiative  APSI
ANFIS	;ANFIS
Alan Turing Institute	;Alan Turing Institute
MSC	;MSC  Mediterranean Shipping Company S A
GINSENG	;Compagnia San Paolo within the GINSENG project
Commercialisation Fund of Enterprise Ireland is gratefully acknowledged	;Commercialisation Fund of Enterprise Ireland is gratefully acknowledged
High-Tech Research and Development  863  Programme  Demonstration of Emergency Technologies for Great Affairs of Environmental Pollution in Megapolis	;High-Tech Research and Development  863  Programme  Demonstration of Emergency Technologies for Great Affairs of Environmental Pollution in Megapolis
Central Research Grant of Hong Kong Polytechnic University	;Central Research Grant of Hong Kong Polytechnic University
Michigan Tech Research Institute	;Michigan Tech Research Institute
ARC	;Action de Recherche Concertee  ARC;ARC;ARC Discovery Grant;ARC Future Fellowship;Australia Research Council  ARC;Australian Research Council  ARC;Australian Research Council grants  ARC DECRA;Australian Research Council grants  ARC Laureate;Australian Research Council through ARC Linkage Project
III	;Carlos III Health Institute;Greek national resources under the framework of the  Archimedes III  Funding of Research Groups in TEI of Athens  project of the  Education & Lifelong Learning  Operational Programme;Programa de Apoyo a Experiencias de Innovacion Docente Universidad Carlos III de Madrid;University of Toulouse III - Paul Sabatier
European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University	;European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University
OVFDT	;Research Grant  Adaptive OVFDT with Incremental Pruning and ROC Corrective Learning for Data Stream Mining  Grant
Stanford University	;Stanford University
Chosun University	;Chosun University
EMBRAPA	;EMBRAPA - Brazilian Agricultural Research Corporation;Empresa Brasileira de Pesquisa Agropecuaria  EMBRAPA
Xunta de Galicia  Spain	;Xunta de Galicia  Spain
ICTAS	;Institute for Critical Technology and Applied Science  ICTAS  of Virginia Tech
Disaster Research Group	;Disaster Research Group
Department of Science and Technology	;Department of Science and Technology
Spanish Ministry of Education	;Spanish Ministry of Education
National Basic Research Program of China 973 Program	;National Basic Research Program of China 973 Program
DFG	;Deutsche Forschungs Gemeinschaft  DFG;Deutsche Forschungsgemeinschaft  DFG;Deutsche Forschungsgemeinschaft  DFG  priority program  New Frameworks of Rationality;DFG;DFG  Cluster of Excellence Multimodal Computing and Interaction;DFG  German Research Assoc;DFG  German Research Council;DFG as part of the Transregional Collaborative Research Center;DFG Research Training Group AlgoSyn;German Research Council DFG;German Research Foundation   Deutsche Forschungsgemeinschaft DFG;German Research Foundation  Deutsche Forschungsgemeinschaft - DFG;German Research Foundation  DFG;German Research Foundation  DFG Deutsche Forschungsgemeinschaft;German Research Fundation  DFG  as part of the excellence cluster Cognition for Technical Systems  CoTeSys
NLM	;NLM;NLM Medical Informatics Training Grant;NLM NIH HHS;U S  National Library of Medicine  NLM;US National Library of Medicine  NLM  Research Participation Program
HL7	;HL7
University of Vigo	;University of Vigo
China Building Material Test and Certification Center	;China Building Material Test and Certification Center
Andalusian Autonomous Government  Junta de Andalucia	;Andalusian Autonomous Government  Junta de Andalucia
Ort Braude College of Engineering	;Ort Braude College of Engineering
Coordinator Ship of Selcuk University	;Coordinator Ship of Selcuk University
Lahore University of Management Sciences	;Lahore University of Management Sciences
AULA-T	;Junta de Comunidades de Castilla-La Mancha within the AULA-T project
Calouste Gulbenkian Foundation at Ryerson University	;Calouste Gulbenkian Foundation at Ryerson University
Durban University of Technology	;Durban University of Technology
Natural Sciences and Engineering Research Council of Canada	;Natural Sciences and Engineering Research Council of Canada
CNCS	;Romanian National Authority for Scientific Research CNCS - UEFISCDI
iDEaS project	;iDEaS project
USDA	;U S  Department of Agriculture  USDA
National Outstanding Youth Foundation of China	;National Outstanding Youth Foundation of China
ANPCYT	;National Agency for Promotion of Science and Technology  ANPCYT
Institute of Knowledge Economy Development of Shih-Hsin University	;Institute of Knowledge Economy Development of Shih-Hsin University
Italian Ministry of University and Research	;Italian Ministry of University and Research
Artificial Intelligence Research Promotion Foundation	;Artificial Intelligence Research Promotion Foundation
Australian Government's Cooperative Research Centre Program	;Australian Government's Cooperative Research Centre Program
Nordeas Norriandsstiftelse	;Nordeas Norriandsstiftelse
UFPR	;UFPR
Yeungnam University	;Yeungnam University
MCI	;Spanish MCI;Spanish MCI grant
Jet Propulsion Laboratory	;Jet Propulsion Laboratory
SPAWAR	;Space and Naval Warfare Systems Command  SPAWAR
Republic of Slovenia Ministry of Education Science and Sport	;Republic of Slovenia Ministry of Education Science and Sport
Complexity Bounds in Coalgebraic Modal Logic	;Complexity Bounds in Coalgebraic Modal Logic
Instituto de Telecomunicaoes	;Instituto de Telecomunicaoes
NSFC	;Chinese National Science Foundation  NSFC;Nation Natural Science Foundation of China  NSFC;National Natural Science Foundation of China  NSFC;National Nature Science Foundation  NSFC;National Science Foundation of China  NSFC;National Science Fund for Distinguished Young Scholars  NSFC;NSFC;NSFC  National Natural Science Foundation of China;NSFC  Natural Science Foundation of China
FIAR	;Universita degli Studi Milano Bicocca FIAR
NATO	;NATO Research
USDA-Federal Crop Insurance Corporation through the Risk Management Agency	;USDA-Federal Crop Insurance Corporation through the Risk Management Agency
PARTNERSHIP	;PARTNERSHIP Program of the 2nd National Plan for Research Development and Innovation of the Romanian Government
National Hi-Tech Research and Development Program	;National Hi-Tech Research and Development Program
Lynne and William Frankel Center for Computer Sciences	;Lynne and William Frankel Center for Computer Sciences
CREMS	;CREMS Summer Program Award at the University of Toronto
Universidad Nacional de San Luis	;Universidad Nacional de San Luis
The Hewlett Packard Corporation and Springer-Verlag	;The Hewlett Packard Corporation and Springer-Verlag
Libyan Ministry of Higher Education and Scientific Research	;Libyan Ministry of Higher Education and Scientific Research
PUT	;National Iranian Oil Company and Petroleum University of Technology  PUT;Petroleum University of Technology  PUT
Innovation Fund Denmark	;Innovation Fund Denmark
French National Research Agency	;French National Research Agency
NASR	;NASR = National Authority for Scientific Research
Major National Science and Technology	;Major National Science and Technology
Portuguese Fundacao para a Ciencia e a Tecnologia	;Portuguese Fundacao para a Ciencia e a Tecnologia
Cognisud	;Cognisud
Ministry of Higher Education and Scientific Research  Algiers	;Ministry of Higher Education and Scientific Research  Algiers
National Natural Science Foundations of China	;National Natural Science Foundations of China
BAE	;BAE Systems;BAE Systems  UK;BAE Systems plc;BAE Systems Surface Ships Ltd Portsmouth
Ministry of Education  Science and Technology	;Ministry of Education  Science and Technology
National 973 Key Research Program	;National 973 Key Research Program
Alexander von Humboldt Foundation Bonn FR Germany	;Alexander von Humboldt Foundation Bonn FR Germany
GDoMS entities	;GDoMS entities
Mizuno Technical Institute	;Mizuno Technical Institute
BHP	;BHP Billion Co  Australia
Regional Ministry of the Principality of Asturias	;Regional Ministry of the Principality of Asturias
National Basic Research Program of China '973' Program	;National Basic Research Program of China '973' Program
Ministry of Science Research and the Arts of the State of Baden-Wurttemberg	;Ministry of Science Research and the Arts of the State of Baden-Wurttemberg
Pudong New District	;Pudong New District
National Program for Support of Top-Notch Young Professionals	;National Program for Support of Top-Notch Young Professionals
Tshwane University of Technology Faculty of Engineering and the Built of Environment Department of Electrical Engineering Research account Pretoria west/South Africa	;Tshwane University of Technology Faculty of Engineering and the Built of Environment Department of Electrical Engineering Research account Pretoria west/South Africa
Fisheries and Oceans Canada's National Species at Risk Program	;Fisheries and Oceans Canada's National Species at Risk Program
Assumption University	;Assumption University
Bretagne Regional Council	;Bretagne Regional Council
GE Ecomagination Challenge  Powering the Grid in addition to collaboration between GE Global Research	;GE Ecomagination Challenge  Powering the Grid in addition to collaboration between GE Global Research
EECS	;EECS Department University of Toledo
University of Mazandaran	;University of Mazandaran
Environment Agency	;Environment Agency
VSB-TU	;Student Grant Competition of VSB-TU of Ostrava
Institut Universitaire de France	;Institut Universitaire de France
ESFRI	;European Strategy Forum on Research Infrastructures  ESFRI
Department of Energy	;Department of Energy
Sao Paulo Research Foundation	;Sao Paulo Research Foundation
National High Technology Research and Development Program of China  863	;National High Technology Research and Development Program of China  863
Enterprise Ireland	;Enterprise Ireland
POSI	;POSI
Adobe Research	;Adobe Research
International Council for Open Research and Open Education  iCORE	;International Council for Open Research and Open Education  iCORE
MITACS	;MITACS
Universidad de Malaga Campus de Excelencia Internacional Andalucia Tech	;Universidad de Malaga Campus de Excelencia Internacional Andalucia Tech
Malaysian Higehr education and Universiti Teknolgi Malaysia	;Malaysian Higehr education and Universiti Teknolgi Malaysia
NOMADIS	;New and Old Mobility Analysis and Design for the Information Society  NOMADIS  laboratory
LACAM	;Materials Characterization Laboratory  LACAM  Center of Non-Destructive Testing  CENDE
Innovation of Study Programs at Silesian University in Opava School of Business Administration in Karvina	;Innovation of Study Programs at Silesian University in Opava School of Business Administration in Karvina
FAPESC	;FAPESC
Nebraska Tobacco Settlement Biomedical Research Development Funds	;Nebraska Tobacco Settlement Biomedical Research Development Funds
Army Research Office	;Army Research Office
CNRS	;CNRS;CNRS  Mastodons PETASKY project;Laboratory Le2i  CNRS 6306 Le-Creusot FRANCE
Ministry of Education and Science of the Republic of Serbia	;Ministry of Education and Science of the Republic of Serbia
Studienstiftung des Deutschen Volkes	;Studienstiftung des Deutschen Volkes
Greek Ministry of Development-GSRT	;Greek Ministry of Development-GSRT
MCT	;MCT
National Natural Science Foundation Program of China	;National Natural Science Foundation Program of China
Dataparc	;Dataparc
