111 Project	111 Project;
2006 Inje University Special Research Grant	2006 Inje University Special Research Grant;
2010 Computing Innovation Fellowship	2010 Computing Innovation Fellowship;
2013 major projects of the Ministry of education's humanities and social science research base	2013 major projects of the Ministry of education's humanities and social science research base;
2K Australia	2K Australia;
2'nd place in the Romanian final round of the Software Design section	2'nd place in the Romanian final round of the Software Design section;
3DLife EU Network of Excellence  NoE	3DLife EU Network of Excellence  NoE;
6th National College Students' Innovation & Entrepreneurial Training Program of China	6th National College Students' Innovation & Entrepreneurial Training Program of China;
7FP Marie Curie Actions IRSES project	7FP Marie Curie Actions IRSES project;
7th Framework Programme of the European Union	7th Framework Programme of the European Union;
863 Hi-Tech Research and Development program of China	863 Hi-Tech Research and Development program of China;
863 program	863 program;
973 Program	973 Program;
973 Research Program	973 Research Program;
985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province	985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province;
A I Tech s r l	A I Tech s r l;
Agency for Science Technology and Research  A*STAR  Science and Engineering Research Council through the Singapore-Poland Program	Social Technologies+ Programme - A*STAR Joint Council Office;Singapore A*STAR SERC Complex Systems Programme research grant;Agency for Science Technology and Research  A*STAR  Singapore;Agency for Science Technology and Research  A*STAR  Science and Engineering Research Council through the Singapore-Poland Program;A*STAR Science and Engineering Research Council Singapore-Poland Program;
A*Star Singapore	A*Star Singapore;
National Science Foundation of AAAI	National Science Foundation of AAAI;
Spanish Ministry of Science and Innovation ABANT	Spanish Ministry of Science and Innovation ABANT;
ABB	AbbVie;ABB;
Architecture and Building Research Institute  ABRI	Architecture and Building Research Institute  ABRI;
ABSOLUTE Project from the 7th Framework Programme of the European Commission	ABSOLUTE Project from the 7th Framework Programme of the European Commission;
Academic Research Fund  AcRF	Academic Research Fund  AcRF;
Academy of Finland	Academy of Finland;
Academy of Science of Slovak Republic	Academy of Science of Slovak Republic;
Academy of Science of the Slovak Republic	Academy of Science of the Slovak Republic;
Acerta	Acerta;
Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion  ACIISI  of Canary Islands Autonomic Government	Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion  ACIISI  of Canary Islands Autonomic Government;
AComIn	AComIn;
AdI  Innovation Agency	AdI  Innovation Agency;
federal state Rhineland-Palatinate under the project ADIB  Adaptive Provision of Information	federal state Rhineland-Palatinate under the project ADIB  Adaptive Provision of Information;
admission office of Shanghai Jiao Tong University	admission office of Shanghai Jiao Tong University;
Alzheimer's Disease Neuroimaging initiative  ADNI   National Institutes of Health Grant	Alzheimer's Disease Neuroimaging initiative  ADNI   National Institutes of Health Grant;
Adobe Research	Adobe Research;
Advanced Materials Research Center Islamic Azad University of Najafabad Najafabad Iran	Advanced Materials Research Center Islamic Azad University of Najafabad Najafabad Iran;
Aeronautical Science Foundation of China	Aeronautical Science Foundation of China;
Aeronautics Fund of China	Aeronautics Fund of China;
Aerospace Area at University of Leon	Aerospace Area at University of Leon;
AFOSR research	AFOSR research;AFOSR;
AFRL Information Directorate	AFRL Information Directorate;
Agence Nationale de la Recherche	Agence Nationale de la Recherche France;Agence Nationale de la Recherche;
Agence Nationale Pour la Recherche - Technologies pour la Sante	Agence Nationale Pour la Recherche - Technologies pour la Sante;
Agencia Espanola de Cooperacion Internacional para el Desarrollo	Agencia Espanola de Cooperacion Internacional para el Desarrollo;
Agency for Healthcare Research and Quality	Agency for Healthcare Research and Quality;
AGH - University of Science and Technology Faculty of Geology Geophysics and Environmental Protection	AGH UST;AGH University of Science and Technology;AGH grant;AGH - University of Science and Technology Faculty of Geology Geophysics and Environmental Protection;
Agusta Westlands	Agusta Westlands;
Agency on Health Care Policy and Research  AHCPR	Agency on Health Care Policy and Research  AHCPR;
Alberta Health Foundation for Medical Research  AHFMR summer research award	Alberta Health Foundation for Medical Research  AHFMR summer research award;
AHRQ HHS	AHRQ HHS;
AICML	AICML;
All India Council for Technical Education  AICTE  New Delhi  INDIA	All India Council for Technical Education AICTE  India;All India Council for Technical Education  AICTE  New Delhi  INDIA;All India Council for Technical Education  AICTE  New Delhi;AICTE  Govt  of India;AICTE   New Delhi India;
Alberta Ingenuity Fund  AIF	Alberta Ingenuity Fund  AIF;
Aihara Project	Aihara Project;
AIP through the State of Brandenburg	AIP through the State of Brandenburg;
Air Force Office of Scientific Research	Air Force Office of Scientific Research;
